Q96SW2	Q96SW2
P07363	P07363
O60547	O60547
O60547	P72586
O94972	O94972
P25591	P25591
Q8NA72	Q8NA72
Q12449	Q12449
Q9BPX6	Q9BPX6
Q8NE31	Q8NE31
Q5T7B8	Q5T7B8
Q5T7B8	Q9BVG8
Q5T7B8	F5H3M2
P15365	P15365
Q15555	Q15555
Q15555	Q15691
Q96NT3	Q96NT3
O60760	O60760
P38753	P38753
P14719	P14719
Q8TD17	Q8TD17
Q8TD17	P15622
Q8TD17	Q9UDV6
Q8TD17	O15015
Q8TD17	Q9NX65
Q8TD17	P17022
Q08949	Q08949
Q55559	Q55559
P78364	P78364
P78364	Q8IXK0
Q5JII0	Q5JII0
Q96B01	Q96B01
P62906	P62906
P0A9A6	P0A9A6
Q5T7V8	Q5T7V8
Q9H8M7	Q9H8M7
Q9VFP2	Q9VFP2
Q9VFP2	Q6IQ16
Q9VFP2	O43791
Q9VFP2	Q8L765
Q9VFP2	Q94420
Q9Y4C4	Q9Y4C4
Q9Y4C4	Q7KRY7
Q9Y4C4	Q14160
Q8N0S2	Q8N0S2
Q13573	Q13573
P14737	P14737
O14545	O14545
A0A0H3NVJ7	A0A0H3NVJ7
Q9HB71	Q9HB71
P62079	P62079
Q07157	Q07157
Q07157	Q9UDY2
Q9I317	Q9I317
Q7L622	Q7L622
P58301	P58301
P31785	P31785
P0ABZ1	P0ABZ1
P17813	P17813
Q7WY62	Q7WY62
Q9NQL2	Q9NQL2
Q9NQL2	Q9HB90
Q9NQL2	P53290
Q14974	Q14974
Q9BPZ7	Q9BPZ7
O41932	O41932
Q9NRI5	Q9NRI5
Q9NRI5	Q811T9
P02741	P02741
P02741	P02743
Q9Y3I1	Q9Y3I1
O14730	O14730
D9PTN5	D9PTN5
D9PTN5	G5EFI7
P0A420	P0A420
Q9Z2I6	Q9Z2I6
Q9Z2I6	Q496J9
P38318	P38318
P05026	P05026
Q12046	Q12046
P30429	P30429
P33611	P33611
P32361	P32361
P32361	Q9EQY0
P32361	O75460
O15234	O15234
Q9UGP4	Q9UGP4
Q9UGP4	Q9QXD8
Q9UGP4	Q15654
Q9UGP4	Q91XC0
Q9UGP4	A6NIX2
Q9UGP4	Q8WUP2
Q9UGP4	Q15942
Q9UIS9	Q9UIS9
O13585	O13585
P11717	P11717
Q9P0M2	Q9P0M2
Q9Y5P4	Q9Y5P4
Q13428	Q13428
P23624	P23624
Q3YBA8	Q3YBA8
Q3YBA8	P46077
Q3YBA8	Q01525
Q3YBA8	P48348
Q3YBA8	P62259
Q3YBA8	P62260
Q3YBA8	P48349
Q3YBA8	O57468
Q3YBA8	Q6ZKC0
Q3YBA8	Q9XEW5
Q3YBA8	P62258
Q3YBA8	P31947
Q3YBA8	P92177
Q3YBA8	P61981
Q3YBA8	P61982
Q3YBA8	P61983
Q3YBA8	Q04917
Q3YBA8	P68511
Q3YBA8	P68510
Q3YBA8	P29310
Q3YBA8	P63101
Q3YBA8	P31946
Q3YBA8	P63104
Q3YBA8	P27348
Q3YBA8	P63103
Q3YBA8	P41932
Q8IVM0	Q8IVM0
Q56061	Q56061
Q56061	A0A0F6B063
O75771	O75771
P0ABG4	P0ABG4
P0ABG4	B8H092
Q04338	Q04338
P41235	P41235
P41235	P43136
P50481	P50481
P50481	Q9UBR4
P50481	Q969G2
P50481	Q96A47
P50481	P61371
P50481	P61372
P50481	Q68G74
P50481	Q8TE12
P50481	Q9NQ69
P50481	P61968
P50481	P25800
P50481	Q8TAP4
P50481	P25791
Q7TPH6	Q7TPH6
G5ECW5	G5ECW5
Q76JQ2	Q76JQ2
P34756	P34756
Q5UMH8	Q5UMH8
Q5UMH8	P26022
P38915	P38915
Q96SF7	Q96SF7
Q96SF7	O43435
Q96SF7	Q16650
Q96SF7	P20293
Q96SF7	Q9JKD8
Q96SF7	P70326
Q9Y266	Q9Y266
Q06410	Q06410
Q2HR75	Q2HR75
Q9BQB4	Q9BQB4
G0S024	G0S024
Q13094	Q13094
Q9UBV8	Q9UBV8
Q9UBV8	P20807
Q9UBV8	P07384
Q9UBV8	P12815
Q9UBV8	O75340
Q9UBV8	P28676
Q9UBV8	P05044
Q15582	Q15582
O14777	O14777
Q9BXR5	Q9BXR5
Q9BXR5	Q9Y2C9
Q9BXR5	Q15399
Q9BXR5	O60603
Q9WVJ4	Q9WVJ4
Q9WVJ4	Q17RL8
Q9WVJ4	Q76G19
Q9WVJ4	Q24008
Q9WVJ4	Q8BH60
Q9WVJ4	Q9HD26
Q9WVJ4	O14910
Q9WVJ4	Q9NUP9
Q9WVJ4	Q62696
Q9WVJ4	Q63622
Q9WVJ4	Q62108
Q9WVJ4	Q62936
Q9WVJ4	P70175
Q9WVJ4	Q811D0
Q9WVJ4	Q12959
Q9WVJ4	Q8N3R9
Q9WVJ4	Q8TCX5
P36617	P36617
Q5FWF5	Q5FWF5
O74804	O74804
P57682	P57682
Q9BVC6	Q9BVC6
O49552	O49552
O49552	Q9M0V3
Q92900	Q92900
Q9URY2	Q9URY2
Q9NZ43	Q9NZ43
Q9JIY2	Q9JIY2
P63159	P63159
P63159	P26583
P63159	P63158
P63159	P23497
Q8N668	Q8N668
A6ND01	A6ND01
Q43295	Q43295
Q43295	Q02196
O75952	O75952
Q06604	Q06604
Q24478	Q24478
G0RUC2	G0RUC2
G0RUC2	Q9C9W9
G0RUC2	Q94BT6
P39905	P39905
Q12329	Q12329
O70552	O70552
O70552	P50616
O70552	P62324
P36046	P36046
Q5T2D3	Q5T2D3
Q70Z53	Q70Z53
Q9BX66	Q9BX66
Q9BX66	O94875
Q8TCY5	Q8TCY5
Q12114	Q12114
Q92325	Q92325
Q6PCD5	Q6PCD5
Q15554	Q15554
Q13371	Q13371
P32455	P32455
P32455	B2XWS1
Q9NPJ1	Q9NPJ1
Q96QU6	Q96QU6
Q8WWF3	Q8WWF3
H7C7G9	H7C7G9
H7C7G9	P16497
Q96D31	Q96D31
Q9H204	Q9H204
Q969G3	Q969G3
Q6PCT2	Q6PCT2
Q8WTS6	Q8WTS6
P91682	P91682
O95872	O95872
Q55436	Q55436
Q9NZD2	Q9NZD2
P23179	P23179
Q92985	Q92985
Q92985	A0ZVR0
Q14656	Q14656
Q9UJ70	Q9UJ70
Q01850	Q01850
O95150	O95150
Q6PJH3	Q6PJH3
Q6PJH3	Q99996
Q6PJH3	Q70FJ1
O94886	O94886
O43091	O43091
O43091	P0AD57
Q9HB07	Q9HB07
Q9HB07	P40093
P18405	P18405
O43572	O43572
Q80UU1	Q80UU1
Q5SHR6	Q5SHR6
P48380	P48380
O00213	O00213
O35464	O35464
O35464	Q92854
O35464	Q64151
O35464	O08665
O35464	Q62179
P43364	P43364
P43364	G5E962
P43364	P43362
P43364	P43360
P43364	P43365
P43364	P43356
P43364	Q9UBF1
P43364	O15481
P43364	P43361
P43364	P43358
P43364	P43355
P43364	Q96MG7
P43364	Q9Y5V3
P43364	Q96M61
P43364	Q9HAY2
Q9HXS2	Q9HXS2
P56976	P56976
Q9EQG6	Q9EQG6
P47111	P47111
O60500	O60500
P37019	P37019
P06702	P06702
P06702	P31725
P06702	P31949
P06702	P20930
Q9UPT5	Q9UPT5
Q183R6	Q183R6
Q9BSI4	Q9BSI4
Q9BSI4	Q9QXG9
P60201	P60201
Q03102	Q03102
Q03426	Q03426
P54252	P54252
Q93062	Q93062
Q93062	P53617
Q9BZV1	Q9BZV1
Q00403	Q00403
Q00403	P48512
Q9UPR3	Q9UPR3
Q99732	Q99732
Q99732	Q9JLJ0
Q9Y4X0	Q9Y4X0
Q9NZM1	Q9NZM1
Q86VW0	Q86VW0
P31224	P31224
P31224	P52002
Q07471	Q07471
P48582	P48582
P38768	P38768
P38768	Q9NWS0
P38768	Q9CQJ2
O08709	O08709
O08709	O35244
O08709	P73348
Q9WUN2	Q9WUN2
Q9WUN2	Q9UHD2
Q9WUN2	Q14164
Q9WUN2	Q86PE7
Q9WUN2	Q9VEZ5
Q9WUN2	O15111
Q9WUN2	Q60680
P32854	P32854
Q6WNK7	Q6WNK7
A1E959	A1E959
P40482	P40482
P17536	P17536
Q8SX86	Q8SX86
O14503	O14503
P51834	P51834
O54921	O54921
Q92556	Q92556
Q42453	Q42453
P40568	P40568
Q8WUI4	Q8WUI4
Q8WUI4	Q8C2B3
Q8WUI4	Q99N13
Q8WUI4	Q9UBN7
Q8WUI4	Q9Z2V5
Q8WUI4	P56524
Q96R06	Q96R06
Q9BVL2	Q9BVL2
P46983	P46983
Q86XK3	Q86XK3
Q9EP73	Q9EP73
Q9NVV4	Q9NVV4
Q6ZMZ0	Q6ZMZ0
Q8WZ55	Q8WZ55
Q8IY33	Q8IY33
Q8IY33	Q8N3F8
Q1W581	Q1W581
Q2TAC2	Q2TAC2
P09234	P09234
P09234	Q13435
P43618	P43618
Q8N0Z6	Q8N0Z6
P41832	P41832
P41832	Q5AL52
P41832	Q5AAF4
Q9H5I1	Q9H5I1
Q9H5I1	Q9H9B1
Q9H5I1	Q9Z148
Q9H5I1	Q96KQ7
Q9H5I1	Q15047
Q9H5I1	Q96T68
Q9H5I1	Q9NQR1
Q9H5I1	P20659
Q9H5I1	P42124
Q9H5I1	Q92800
Q9H5I1	Q61188
Q9H5I1	Q9UPS6
Q9H5I1	O15047
Q7Z2E3	Q7Z2E3
P03007	P03007
O14672	O14672
O95994	O95994
O95994	O95881
Q70J99	Q70J99
Q9QYK7	Q9QYK7
Q9QYK7	Q9Y3C5
Q9QYK7	Q9WTV7
Q9QYK7	Q86Y13
Q9QYK7	Q6ZNA4
Q9QYK7	Q96EP1
Q9BY77	Q9BY77
Q9L422	Q9L422
Q9L422	P0A3F4
Q9L422	Q9ZA65
Q9UJX0	Q9UJX0
P29503	P29503
Q9H115	Q9H115
P11989	P11989
O60888	O60888
Q06547	Q06547
Q06547	Q69ZU8
Q06547	P55273
Q06547	P42773
Q06547	P42771
Q06547	P42772
Q06547	Q8WVL7
Q06547	Q6AI12
Q06547	Q9VBP3
Q06547	Q9H2K2
Q06547	Q9Z2X2
Q06547	O75832
Q06547	Q92882
Q06547	Q10728
Q06547	O14974
Q06547	Q9BZL4
Q06547	Q96I34
Q06547	Q96T49
Q06547	Q13625
Q06547	Q05BL1
Q06547	Q8WUF5
Q5W0Q7	Q5W0Q7
Q9UJ71	Q9UJ71
Q0P5N6	Q0P5N6
Q15532	Q15532
Q8L5W7	Q8L5W7
Q9Y624	Q9Y624
P47069	P47069
Q9Y4U1	Q9Y4U1
Q07021	Q07021
P0A1N2	P0A1N2
Q84T94	Q84T94
Q15583	Q15583
Q14526	Q14526
Q5VW32	Q5VW32
Q9Z1E4	Q9Z1E4
Q9Z1E4	Q9VFC8
P20810	P20810
Q8SY33	Q8SY33
P31111	P31111
Q96SB8	Q96SB8
Q8IZL8	Q8IZL8
P31386	P31386
Q14242	Q14242
Q14242	A0A0C4DFY0
Q7Z3B4	Q7Z3B4
Q95RA8	Q95RA8
Q95RA8	Q9H8S9
Q95RA8	Q70IA8
Q5KLS3	Q5KLS3
Q8NI22	Q8NI22
Q9C932	Q9C932
P70196	P70196
Q96PV4	Q96PV4
Q96PV4	Q9UL42
Q96PV4	Q8ND90
Q96PV4	Q96BY2
Q96PV4	Q6PEW1
Q86V81	Q86V81
Q99519	Q99519
Q8BHK6	Q8BHK6
Q8BHK6	Q9HBG7
P33400	P33400
P33301	P33301
Q12315	Q12315
Q96CB9	Q96CB9
Q9NUN5	Q9NUN5
Q6ZU65	Q6ZU65
Q6ZU65	Q9NPG3
Q9LD83	Q9LD83
Q53YP1	Q53YP1
Q53YP1	Q5S3G3
Q53YP1	P17693
Q53YP1	A0A583ZBW8
Q53YP1	A0A583ZBW7
Q53YP1	P10321
Q53YP1	P01889
Q53YP1	Q30201
Q03921	Q03921
Q6UX39	Q6UX39
P21651	P21651
Q16555	Q16555
Q16555	Q14195
Q16555	Q9BPU6
Q00566	Q00566
Q08109	Q08109
P46946	P46946
P34897	P34897
P34897	P0A825
P34897	P34896
P72742	P72742
O34843	O34843
Q8N344	Q8N344
Q8IV16	Q8IV16
Q8YT39	Q8YT39
Q8R5F7	Q8R5F7
Q8R5F7	Q6Q899
Q8R5F7	O95786
P38822	P38822
Q96JN2	Q96JN2
Q9NS64	Q9NS64
Q6ZYL4	Q6ZYL4
A0A024R0Y4	A0A024R0Y4
Q3MIX3	Q3MIX3
Q24434	Q24434
P54577	P54577
P26717	P26717
Q9H3H3	Q9H3H3
Q96BD8	Q96BD8
P49023	P49023
P49023	Q8VI36
P49023	P49024
P49023	Q62219
P49023	P48059
Q15696	Q15696
P42939	P42939
Q9Y3E2	Q9Y3E2
Q9NX01	Q9NX01
Q96KM6	Q96KM6
Q13535	Q13535
P15289	P15289
P30275	P30275
P60228	P60228
Q6ZWJ1	Q6ZWJ1
P55265	P55265
P55265	P78563
Q9HDB5	Q9HDB5
Q9HDB5	P58400
Q9HDB5	Q63373
Q9NZN9	Q9NZN9
Q9NZN9	O00170
P06914	P06914
Q91572	Q91572
Q17635	Q17635
P29353	P29353
P29353	P98083
Q7LBR1	Q7LBR1
Q9NPQ8	Q9NPQ8
Q9Y3B2	Q9Y3B2
P17861	P17861
Q02930	Q02930
Q02930	P15336
P29692	P29692
P0AGB3	P0AGB3
Q15543	Q15543
Q9BZL3	Q9BZL3
Q92759	Q92759
Q99ML1	Q99ML1
Q99ML1	Q9BXH1
Q9BQD3	Q9BQD3
Q9UM82	Q9UM82
O60341	O60341
Q7L775	Q7L775
Q24564	Q24564
Q24564	P35240
Q24564	G3HWC3
Q24564	Q5WQV5
Q24564	P26038
Q24564	P15311
Q24564	Q9WTP0
P77689	P77689
Q9Y3C0	Q9Y3C0
O43561	O43561
Q14032	Q14032
Q9RPY1	Q9RPY1
Q9UBK7	Q9UBK7
Q9UBK7	P41916
Q9UBK7	P62826
Q9UBK7	P62827
Q9UBK7	P32835
Q9UBK7	Q9BSW2
O75344	O75344
O75344	P62942
Q9H0Y0	Q9H0Y0
Q5T4B2	Q5T4B2
O94642	O94642
Q12495	Q12495
Q12495	Q1MTN9
P37370	P37370
Q9Y698	Q9Y698
Q9Y698	Q71RJ2
O46411	O46411
Q9NPC6	Q9NPC6
Q9H898	Q9H898
Q9H898	Q5H9K5
G0S5G3	G0S5G3
G0S5G3	P63027
G0S5G3	Q15836
G0S5G3	P63045
G0S5G3	O70404
G0S5G3	P70280
G0S5G3	P51809
G0S5G3	O75379
Q9LKW9	Q9LKW9
O60610	O60610
O60610	O08808
Q9Y6N9	Q9Y6N9
Q9UFW8	Q9UFW8
Q9WZF8	Q9WZF8
Q9BXS4	Q9BXS4
Q9P2R7	Q9P2R7
P29372	P29372
O43557	O43557
A0A0B4J1S8	A0A0B4J1S8
A0A0B4J1S8	P42356
Q13129	Q13129
P48551	P48551
Q13227	Q13227
Q9H9H4	Q9H9H4
Q9H9H4	Q12446
Q9H9H4	A5D8V6
Q9UGL1	Q9UGL1
Q8WWB5	Q8WWB5
P09619	P09619
P09619	P00528
P09619	P07948
P09619	P07947
P09619	P05480
P09619	P00523
P09619	G3GXX7
P09619	Q9WUD9
P09619	P08631
P09619	P06240
P09619	P39688
P09619	P06241
P09619	P51451
P09619	P42685
P09619	Q02763
P09619	Q61006
Q9H019	Q9H019
P33931	P33931
Q8TAM1	Q8TAM1
Q9H4K1	Q9H4K1
Q9H4K1	Q8N443
Q8IZE3	Q8IZE3
Q9UMW8	Q9UMW8
Q9UMW8	Q9Y2K6
P50503	P50503
E2RZS2	E2RZS2
E2RZS2	P08362
Q8NEV9	Q8NEV9
P23142	P23142
P23142	Q12805
P23142	Q9UBX5
P23142	O95967
P23142	Q96RW7
Q8IXM6	Q8IXM6
Q9UK97	Q9UK97
O00418	O00418
Q9X2V7	Q9X2V7
P53853	P53853
Q9V393	Q9V393
Q9V393	P29066
Q9V393	P32121
Q9V393	P49407
Q9V393	P29067
Q9V393	Q91YI4
Q9V393	P36575
Q9V393	P08168
Q14558	Q14558
Q14558	P60891
Q14558	P11908
Q9NR28	Q9NR28
Q9NR28	Q9JIQ3
Q8WW35	Q8WW35
A5HZZ4	A5HZZ4
P53999	P53999
Q55168	Q55168
Q55168	P37894
Q55168	A0A0H3AL40
Q18PE0	Q18PE0
Q8WXK3	Q8WXK3
Q8WXK3	Q94527
O00899	O00899
Q9Y3F4	Q9Y3F4
Q9XTY6	Q9XTY6
Q9XTY6	Q3MUI1
Q1JV40	Q1JV40
Q7Z5P4	Q7Z5P4
Q7Z5P4	Q96NR8
Q7Z5P4	Q9NZC7
Q12330	Q12330
Q96T37	Q96T37
Q53389	Q53389
Q5ZUS4	Q5ZUS4
Q5VWX1	Q5VWX1
Q5VWX1	O75525
Q5VWX1	Q96PU8
Q99961	Q99961
Q99961	Q8IVP1
Q99961	O35964
Q99961	O35179
Q99961	Q99962
Q99961	Q99963
P04499	P04499
Q1JQ97	Q1JQ97
Q1JQ97	Q96RK4
Q96BW1	Q96BW1
Q6ZQE4	Q6ZQE4
P38432	P38432
Q00416	Q00416
Q7Z5K2	Q7Z5K2
P55209	P55209
Q9Z0H3	Q9Z0H3
Q9Z0H3	Q12824
O01901	O01901
Q9HAW4	Q9HAW4
O08700	O08700
Q8KNP2	Q8KNP2
P21190	P21190
O00311	O00311
P05113	P05113
Q9H267	Q9H267
P03052	P03052
P38328	P38328
Q96RL1	Q96RL1
P11071	P11071
P51808	P51808
O95817	O95817
P01731	P01731
Q8N9N8	Q8N9N8
O08722	O08722
O08722	Q8K1S3
O08722	Q8IZJ1
P17426	P17426
P17426	O95782
P17426	P18484
P17426	P17427
Q8IYS0	Q8IYS0
Q9NRQ2	Q9NRQ2
Q9NRQ2	Q9NRY6
Q9NRQ2	O15162
Q96CV9	Q96CV9
Q96CV9	Q9Y6K9
Q96CV9	O88522
Q15154	Q15154
Q8WZ19	Q8WZ19
Q8WZ19	Q8WVF5
Q8WZ19	Q8NC69
Q8WZ19	Q719H9
Q7L8L6	Q7L8L6
Q8NBP7	Q8NBP7
Q9UHP3	Q9UHP3
Q04712	Q04712
P61024	P61024
O00221	O00221
O00221	O54910
O00221	P20749
O00221	Q9P2R3
O00221	Q15653
O00221	Q91974
O00221	P25963
Q13158	Q13158
Q13158	Q92851
Q13158	P42575
Q13158	P55215
Q13158	P55211
Q13158	P97864
Q13158	P55210
Q13158	P70677
Q13158	P42574
Q13158	Q9JHX4
Q13158	Q14790
Q13158	P42573
P0C2W0	P0C2W0
Q12675	Q12675
Q12675	P32660
Q12675	O43520
Q12675	P39524
F4I0K2	F4I0K2
F4I0K2	Q9M394
Q9Y287	Q9Y287
Q9NS73	Q9NS73
Q70UQ0	Q70UQ0
Q9JK83	Q9JK83
Q9JK83	Q9NAN2
Q9JK83	O97111
Q9JK83	Q9NPB6
Q08334	Q08334
Q13867	Q13867
P08173	P08173
P08173	P08485
P08173	P08172
P08173	P32239
Q96N67	Q96N67
Q96N67	Q8NF50
Q96Q35	Q96Q35
Q9UWW1	Q9UWW1
P21580	P21580
Q9NRM2	Q9NRM2
Q14678	Q14678
Q14678	Q63ZY3
P50749	P50749
P25322	P25322
P25322	P30279
P25322	P24385
P25322	P30281
P25322	P54733
P25322	P24864
Q9UMF0	Q9UMF0
Q92K05	Q92K05
Q96LW7	Q96LW7
Q9NR97	Q9NR97
Q96HA9	Q96HA9
Q8NFA2	Q8NFA2
Q42384	Q42384
P03182	P03182
P39838	P39838
Q9D8X5	Q9D8X5
Q9D8X5	Q60809
Q9D8X5	Q9UFF9
Q9D8X5	Q9UIV1
P55081	P55081
P54841	P54841
P54841	P54845
P21266	P21266
P21266	P46439
P21266	Q03013
Q8IU80	Q8IU80
Q8IU80	P00747
Q8IU80	Q9Y337
Q8IU80	O15393
Q8IU80	Q5S248
P38351	P38351
P38770	P38770
Q7TN08	Q7TN08
Q9BY67	Q9BY67
Q9ERE7	Q9ERE7
O76080	O76080
Q96LL9	Q96LL9
Q96LL9	Q9H3Z4
Q96LL9	O14213
Q4VCS5	Q4VCS5
Q4VCS5	Q9Y2J4
P31424	P31424
P31424	Q3UVX5
P31424	P23385
P31424	P35400
P31424	O00222
P0A9R7	P0A9R7
P0A9R7	Q9VSS1
P0A9R7	Q6SSD8
O35002	O35002
P74593	P74593
P74593	P73492
P28799	P28799
Q05637	Q05637
P53897	P53897
Q8WXD9	Q8WXD9
P54852	P54852
P54852	Q01453
P84101	P84101
P39066	P39066
O75533	O75533
Q6V1L5	Q6V1L5
P53629	P53629
P53629	P25628
Q9NV31	Q9NV31
P38526	P38526
O95477	O95477
O95477	Q99758
Q9BVK2	Q9BVK2
O14678	O14678
Q7D3V8	Q7D3V8
Q5JST6	Q5JST6
Q5JST6	Q5JVL4
Q13049	Q13049
Q8TBP5	Q8TBP5
P30291	P30291
P30291	Q8QGV2
P29218	P29218
Q96G97	Q96G97
P20962	P20962
Q9BZE9	Q9BZE9
Q8NI08	Q8NI08
P13382	P13382
P13382	P33609
O75190	O75190
O75190	Q96EY1
O75190	P25491
O75190	P31689
O75190	P08622
O75190	Q99KV1
O75190	Q9UBS4
O75190	P25294
Q03175	Q03175
Q15714	Q15714
Q15714	Q9Y3Q8
Q9Y6I7	Q9Y6I7
Q5JSL3	Q5JSL3
Q5JSL3	Q9BZ29
Q775D8	Q775D8
P11978	P11978
P40189	P40189
O08712	O08712
O08712	O00300
O08712	P25942
O08712	O95407
O08712	Q92956
Q8TCD5	Q8TCD5
P06971	P06971
Q6P2E9	Q6P2E9
O95257	O95257
O95257	Q9Z111
P14210	P14210
P14210	Q15661
O95980	O95980
O95980	Q9Z0J1
Q9Y4C1	Q9Y4C1
P07091	P07091
P07091	P26447
P07091	P29034
P07091	P25815
P07091	P06703
P07091	P23297
P07091	P56565
P07091	P04271
P07091	P60903
P35190	P35190
Q9QX47	Q9QX47
Q9QX47	P18583
O74465	O74465
Q77Q71	Q77Q71
Q77Q71	Q9DGW5
P42166	P42166
P15275	P15275
P15275	P0AFX4
P04578	P04578
Q00978	Q00978
Q6P499	Q6P499
Q8NCA5	Q8NCA5
B1Q236	B1Q236
Q08214	Q08214
P10238	P10238
Q5ZSQ3	Q5ZSQ3
Q93038	Q93038
Q1PLI0	Q1PLI0
Q9Y5B8	Q9Y5B8
Q9Y5B8	P56597
Q9Y5B8	O64903
Q9Y5B8	Q05982
Q9Y5B8	P15531
Q9Y5B8	O00746
Q9Y5B8	Q13232
Q9NX58	Q9NX58
P9WGH9	P9WGH9
P56962	P56962
Q9BXW4	Q9BXW4
Q9BXW4	Q9H492
Q9BXW4	Q9GZQ8
Q9BXW4	Q9CQV6
Q9BXW4	Q8IJK2
Q9BXW4	P38182
Q9BXW4	P60520
Q9BXW4	Q9W2S2
Q9BXW4	O95166
Q9BXW4	Q9H0R8
Q9BXW4	Q6IAW1
P62263	P62263
Q13315	Q13315
Q14990	Q14990
G3H0F0	G3H0F0
G3H0F0	Q96ST3
Q8N3U4	Q8N3U4
Q9Y2W2	Q9Y2W2
Q9Y230	Q9Y230
Q9Y230	Q9Y265
P0AFA2	P0AFA2
Q9NXW9	Q9NXW9
Q3T1J5	Q3T1J5
Q3T1J5	Q12955
Q3T1J5	Q01484
Q3T1J5	P16157
Q9BYV2	Q9BYV2
P61326	P61326
Q96TL7	Q96TL7
P62270	P62270
Q96QB1	Q96QB1
Q8XH11	Q8XH11
O75152	O75152
P45956	P45956
Q9UGL9	Q9UGL9
Q8WXG1	Q8WXG1
P04843	P04843
Q8LGD5	Q8LGD5
Q15038	Q15038
O14931	O14931
P23560	P23560
O95139	O95139
Q9D1P4	Q9D1P4
Q9D1P4	Q9SE33
Q9USL5	Q9USL5
Q9USL5	P33309
Q9USL5	Q9BRX2
Q9WU78	Q9WU78
O43488	O43488
O43488	O95154
Q8IUI8	Q8IUI8
P39001	P39001
Q62881	Q62881
Q62881	Q9BX69
Q9NPJ4	Q9NPJ4
B7UI22	B7UI22
P03120	P03120
Q96FV9	Q96FV9
Q99380	Q99380
Q67684	Q67684
P09012	P09012
P09012	P08579
O14950	O14950
O14950	P19105
O14950	P24844
O14950	P51667
O14950	P53141
Q15109	Q15109
Q9BG77	Q9BG77
Q9BG77	P30556
Q9BG77	P25095
P21541	P21541
P21541	Q9C0D3
P27824	P27824
P27824	Q8K3H8
P27824	P27797
Q9UJX5	Q9UJX5
Q8TC90	Q8TC90
P36054	P36054
Q06287	Q06287
Q06287	Q92979
A0A0H2X3K2	A0A0H2X3K2
A0A0H2X3K2	A0A0H2X9F2
A0A0H2X3K2	A0A0H2X560
A0A0H2X3K2	A0A0H2XAR9
A0A0H2X3K2	A0A0H2X359
Q04636	Q04636
D5K228	D5K228
Q9Y6Y9	Q9Y6Y9
P31554	P31554
Q13685	Q13685
P06401	P06401
P06401	P06537
P06401	P04150
P06401	Q92731
P06401	O08537
P06401	P19785
P06401	P03372
P06401	P62508
P06401	P11474
P0C2L3	P0C2L3
Q96QT6	Q96QT6
Q96QT6	Q5SPL2
P38285	P38285
P46952	P46952
Q8N9Q2	Q8N9Q2
Q7Z628	Q7Z628
Q7Z628	Q9NR81
P31345	P31345
P31345	A0A0K1LEV0
P31345	C8XKY2
P31345	P03427
Q8N490	Q8N490
Q9NW97	Q9NW97
Q6P988	Q6P988
Q6P1L5	Q6P1L5
P46957	P46957
P46957	P87324
P08839	P08839
Q8TB24	Q8TB24
G5EEG7	G5EEG7
Q96IQ9	Q96IQ9
Q14019	Q14019
P13001	P13001
P04798	P04798
P04798	Q96SQ9
P34909	P34909
Q96B21	Q96B21
Q9Y6M7	Q9Y6M7
Q9Y6M7	Q9Y6R1
Q9Y6M7	P02730
P11309	P11309
P38272	P38272
Q9NYZ3	Q9NYZ3
Q9NYF8	Q9NYF8
P41221	P41221
P41221	P22725
P41221	O00755
P41221	P27467
P41221	P56704
P39007	P39007
P97953	P97953
P54727	P54727
P54727	P54725
P54727	P32628
P54727	Q84L33
P54727	Q84L32
Q53FP2	Q53FP2
P50570	P50570
P50570	Q9UQ16
P50570	Q05193
P50570	P39053
P50570	P39052
P50570	O35303
P50570	O00429
P50570	Q8K1M6
Q8N4V1	Q8N4V1
P04075	P04075
P04075	P09972
P26373	P26373
Q05086	Q05086
Q05086	P46934
Q05086	P46935
Q05086	Q96PU5
Q05086	Q9H0M0
Q05086	O00308
Q05086	Q9HCE7
Q05086	A2A5Z6
Q05086	Q9HAU4
Q05086	P39940
Q8IY92	Q8IY92
P19824	P19824
Q96Q05	Q96Q05
O95721	O95721
P61970	P61970
Q9UHY1	Q9UHY1
Q9UHY1	Q9BYP7
Q9UHY1	Q96J92
Q9UHY1	Q80UE6
A0A0H2X9J2	A0A0H2X9J2
Q92934	Q92934
O95363	O95363
O15078	O15078
P0A6S5	P0A6S5
Q8WZ59	Q8WZ59
Q01433	Q01433
Q01433	Q01432
Q9Y228	Q9Y228
Q9Y3A2	Q9Y3A2
Q02821	Q02821
Q02821	O00505
Q02821	O00629
Q02821	P52292
Q02821	O15131
Q02821	P52294
Q02821	O60684
P33240	P33240
Q9H2F9	Q9H2F9
Q86TG7	Q86TG7
P10636	P10636
P10636	P19332
P10636	P20357
Q9NZZ3	Q9NZZ3
P19447	P19447
P38507	P38507
Q5AH02	Q5AH02
P04004	P04004
Q14919	Q14919
P04424	P04424
P04424	P04076
Q9UGP5	Q9UGP5
Q9UGP5	P06746
Q9UGP5	Q9NP87
P78314	P78314
P78314	Q06649
Q13569	Q13569
P07953	P07953
P05091	P05091
P45695	P45695
P45695	P45592
P45695	P60981
P45695	Q9Y281
P45695	P23528
P45695	P0DJ26
P36029	P36029
P25588	P25588
O55106	O55106
O13978	O13978
Q01721	Q01721
Q99NC0	Q99NC0
O36019	O36019
Q92845	Q92845
Q12098	Q12098
Q5JR59	Q5JR59
Q9Y5N6	Q9Y5N6
